,count
2022-01-01,519.0
2022-01-02,519.0
2022-01-03,519.0
2022-01-04,519.0
2022-01-05,519.0
2022-01-06,519.0
2022-01-07,519.0
2022-01-08,519.0
2022-01-09,519.0
2022-01-10,519.0
2022-01-11,520.0
2022-01-12,520.0
2022-01-13,520.0
2022-01-14,520.0
2022-01-15,520.0
2022-01-16,520.0
2022-01-17,520.0
2022-01-18,520.0
2022-01-19,520.0
2022-01-20,520.0
2022-01-21,520.0
2022-01-22,520.0
2022-01-23,520.0
2022-01-24,520.0
2022-01-25,518.0
2022-01-26,520.0
2022-01-27,520.0
2022-01-28,520.0
2022-01-29,520.0
2022-01-30,520.0
2022-01-31,520.0
2022-02-01,521.0
2022-02-02,521.0
2022-02-03,521.0
2022-02-04,521.0
2022-02-05,521.0
2022-02-06,521.0
2022-02-07,522.0
2022-02-08,522.0
2022-02-09,522.0
2022-02-10,525.0
2022-02-11,525.0
2022-02-12,525.0
2022-02-13,525.0
2022-02-14,525.0
2022-02-15,525.0
2022-02-16,525.0
2022-02-17,524.0
2022-02-18,524.0
2022-02-19,525.0
2022-02-20,525.0
2022-02-21,525.0
2022-02-22,525.0
2022-02-23,525.0
2022-02-24,525.0
2022-02-25,525.0
2022-02-26,525.0
2022-02-27,525.0
2022-02-28,526.0
2022-03-01,526.0
2022-03-02,526.0
2022-03-03,526.0
2022-03-04,526.0
2022-03-05,526.0
2022-03-06,526.0
2022-03-07,526.0
2022-03-08,526.0
2022-03-09,526.0
2022-03-10,526.0
2022-03-11,526.0
2022-03-12,526.0
2022-03-13,526.0
2022-03-14,526.0
2022-03-15,526.0
2022-03-16,526.0
2022-03-17,526.0
2022-03-18,526.0
2022-03-19,526.0
2022-03-20,526.0
2022-03-21,526.0
2022-03-22,526.0
2022-03-23,526.0
2022-03-24,526.0
2022-03-25,525.0
2022-03-26,526.0
2022-03-27,504.0833333333333
2022-03-28,526.0
2022-03-29,526.0
2022-03-30,526.0
2022-03-31,526.0
2022-04-01,526.0
2022-04-02,525.0
2022-04-03,525.0
2022-04-04,526.0
2022-04-05,525.0
2022-04-06,526.0
2022-04-07,526.0
2022-04-08,526.0
2022-04-09,526.0
2022-04-10,526.0
2022-04-11,526.0
2022-04-12,526.0
2022-04-13,526.0
2022-04-14,526.0
2022-04-15,526.0
2022-04-16,526.0
2022-04-17,526.0
2022-04-18,526.0
2022-04-19,526.0
2022-04-20,526.625
2022-04-21,527.0
2022-04-22,526.0
2022-04-23,526.0
2022-04-24,527.0
2022-04-25,527.0
2022-04-26,527.0
2022-04-27,527.0
2022-04-28,527.0
2022-04-29,527.0
2022-04-30,527.0
2022-05-01,530.0
2022-05-02,530.0
2022-05-03,530.0
2022-05-04,530.0
2022-05-05,530.0
2022-05-06,530.0
2022-05-07,530.0
2022-05-08,530.0
2022-05-09,530.0
2022-05-10,530.0
2022-05-11,530.0
2022-05-12,530.0
2022-05-13,530.0
2022-05-14,530.0
2022-05-15,530.0
2022-05-16,530.0
2022-05-17,530.0
2022-05-18,530.0
2022-05-19,530.0
2022-05-20,530.0
2022-05-21,530.0
2022-05-22,530.0
2022-05-23,530.0
2022-05-24,530.0
2022-05-25,530.0
2022-05-26,530.0
2022-05-27,530.0
2022-05-28,530.0
2022-05-29,530.0
2022-05-30,530.0
2022-05-31,530.0
2022-06-01,530.0
2022-06-02,530.0
2022-06-03,530.0
2022-06-04,530.0
2022-06-05,530.0
2022-06-06,530.0
2022-06-07,531.0
2022-06-08,531.0
2022-06-09,531.0
2022-06-10,531.0
2022-06-11,531.0
2022-06-12,531.0
2022-06-13,531.0
2022-06-14,531.0
2022-06-15,531.0
2022-06-16,532.0
2022-06-17,532.0
2022-06-18,532.0
2022-06-19,532.0
2022-06-20,532.0
2022-06-21,532.0
2022-06-22,532.0
2022-06-23,532.0
2022-06-24,532.0
2022-06-25,532.0
2022-06-26,532.0
2022-06-27,532.0
2022-06-28,532.0
2022-06-29,532.0
2022-06-30,532.0
2022-07-01,537.0
2022-07-02,537.0
2022-07-03,537.0
2022-07-04,537.0
2022-07-05,537.0
2022-07-06,537.0
2022-07-07,537.0
2022-07-08,536.5833333333334
2022-07-09,537.0
2022-07-10,537.0
2022-07-11,537.0
2022-07-12,537.0
2022-07-13,537.0
2022-07-14,537.0
2022-07-15,537.0
2022-07-16,537.0
2022-07-17,537.0
2022-07-18,537.0
2022-07-19,537.0
2022-07-20,536.0
2022-07-21,537.0
2022-07-22,537.0
2022-07-23,537.0
2022-07-24,537.0
2022-07-25,537.0
2022-07-26,537.0
2022-07-27,537.0
2022-07-28,537.0
2022-07-29,537.0
2022-07-30,537.0
2022-07-31,537.0
2022-08-01,574.0
2022-08-02,574.0
2022-08-03,574.0
2022-08-04,574.0
2022-08-05,574.0
2022-08-06,574.0
2022-08-07,574.0
2022-08-08,574.0
2022-08-09,574.0
2022-08-10,574.0
2022-08-11,573.75
2022-08-12,574.0
2022-08-13,574.0
2022-08-14,574.0
2022-08-15,574.0
2022-08-16,574.0
2022-08-17,574.0
2022-08-18,574.0
2022-08-19,574.0
2022-08-20,574.0
2022-08-21,574.0
2022-08-22,574.0
2022-08-23,574.0
2022-08-24,574.0
2022-08-25,574.0
2022-08-26,574.0
2022-08-27,574.0
2022-08-28,574.0
2022-08-29,574.0
2022-08-30,574.0
2022-08-31,574.0
2022-09-01,577.0
2022-09-02,577.0
2022-09-03,577.0
2022-09-04,577.0
2022-09-05,577.0
2022-09-06,577.0
2022-09-07,577.0
2022-09-08,577.0
2022-09-09,577.0
2022-09-10,577.0
2022-09-11,577.0
2022-09-12,577.0
2022-09-13,577.0
2022-09-14,577.0
2022-09-15,577.0
2022-09-16,577.0
2022-09-17,577.0
2022-09-18,576.5833333333334
2022-09-19,577.0
2022-09-20,577.0
2022-09-21,577.0
2022-09-22,577.0
2022-09-23,577.0
2022-09-24,577.0
2022-09-25,577.0
2022-09-26,577.0
2022-09-27,577.0
2022-09-28,577.0
2022-09-29,577.0
2022-09-30,577.0
2022-10-01,575.0
2022-10-02,575.0
2022-10-03,575.0
2022-10-04,575.0
2022-10-05,575.0
2022-10-06,575.0
2022-10-07,575.0
2022-10-08,575.0
2022-10-09,575.0
2022-10-10,575.0
2022-10-11,575.0
2022-10-12,575.0
2022-10-13,575.0
2022-10-14,575.0
2022-10-15,575.0
2022-10-16,575.0
2022-10-17,575.0
2022-10-18,575.0
2022-10-19,575.0
2022-10-20,575.0
2022-10-21,575.0
2022-10-22,574.5833333333334
2022-10-23,575.0
2022-10-24,575.0
