Customer,first_entry,last_entry
VALUEMWHMETERINGDATA_customerIT_1,2023-07-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_2,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_3,2022-10-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_4,2022-10-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_5,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_6,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_7,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_8,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_13,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_14,2023-07-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_15,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_16,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_17,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_19,2022-08-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_22,2022-08-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_23,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_24,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_26,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_27,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_28,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_29,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_30,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_31,2023-11-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_32,2023-11-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_33,2024-02-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_34,2024-04-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_35,2023-06-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_36,2023-06-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_37,2023-06-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_38,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_39,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_40,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_41,2023-07-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_43,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_51,2024-03-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_52,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_53,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_54,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_63,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_65,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_69,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_70,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_72,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_73,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_74,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_78,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_88,2024-03-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_90,2024-03-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_92,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_93,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_94,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_95,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_96,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_97,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_100,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_101,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_102,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_103,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_104,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_106,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_109,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_114,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_116,2023-07-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_117,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_118,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_119,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_120,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_121,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_123,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_124,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_125,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_126,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_130,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_131,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_134,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_135,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_137,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_140,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_141,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_147,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_148,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_150,2023-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_156,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_157,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_159,2024-02-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_165,2024-05-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_169,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_171,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_173,2024-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_176,2022-01-01 00:00:00,2024-07-31 23:00:00
VALUEMWHMETERINGDATA_customerIT_177,2023-01-01 00:00:00,2024-07-31 23:00:00
